,LOCALITY,COUNTRY,CONTINENT,CHARACTER,EPLINE,EPISODE,LINE,CONTEXT,COMMENT,Locality_Count,Country_Count,Continent_Count,EpLocalCount,EpCountryCount,EpContCount,CharLocCount,CharCountryCount,CharContCount,LATITUDE,LONGITUDE
416,Enniscorthy,Ireland,Europe,Thomas Lyster,9.0599,9,599,"All the leading provincial... Northern Whig, Cork Examiner, Enniscorthy Guardian",,2,556,1330,1,20,96,1,5,6,52.50206,-6.56588
417,,Greece,Europe,Buck Mulligan,9.061,9,610,The Greek mouth that has never been twisted in prayer. Everyday we must do homag,,0,45,1330,0,6,96,0,7,39,39,22
418,,Greece,Europe,Buck Mulligan,9.0614,9,614,"O, I fear me, he is Greeker than the Greeks. His pale Galilean eyes were upon he",,0,45,1330,0,6,96,0,7,39,39,22
419,Galilee,Turkish Empire,Asia,Buck Mulligan,9.0615,9,615,"O, I fear me, he is Greeker than the Greeks. His pale Galilean eyes were upon he",,1,109,186,1,5,7,1,3,5,32.874,35.415
420,,Greece,Europe,Buck Mulligan,9.0615,9,615,"O, I fear me, he is Greeker than the Greeks. His pale Galilean eyes were upon he",,0,45,1330,0,6,96,0,7,39,39,22
421,Troy,Turkish Empire,Asia,Stephen Dedalus,9.0622,9,622,"...Argive Helen, the wooden mare of Troy in whom a score of heroes slept, and ha",,4,109,186,1,5,7,1,10,14,39.9575,26.23889
422,Argos,Greece,Europe,Stephen Dedalus,9.0622,9,622,"...Argive Helen, the wooden mare of Troy in whom a score of heroes slept, and ha",,1,45,1330,1,6,96,1,4,143,37.61667,22.71667
423,London,England,Europe,Stephen Dedalus,9.0624,9,624,"Twenty years he lived in London and, during part of that time, he drew a salary",,33,210,1330,7,30,96,8,34,143,51.50722,-0.1275
424,,Ireland,Europe,Stephen Dedalus,9.0625,9,625,"Twenty years he lived in London and, during part of that time, he drew a salary",,0,556,1330,0,20,96,0,42,143,53.41667,-8
425,Sheba,Turkish Empire,Asia,Stephen Dedalus,9.0631,9,631,The gombeenwoman Eliza Tudor had underlinen enough to vie with her of Sheba.,,2,109,186,1,5,7,1,10,14,15.41667,45.35
426,Oxford,England,Europe,Stephen Dedalus,9.0643,9,643,The height of fine society. And sir William Davenant of Oxford's mother with her,,13,210,1330,2,30,96,2,34,143,51.75194,-1.25778
427,Stratford,England,Europe,Buck Mulligan,9.0649,9,649,But all those twenty years what do you suppose poor Penelope in Stratford was do,,7,210,1330,7,30,96,2,13,39,51.5423,-0.00256
428,,England,Europe,John Eglinton,9.066,9,660,"As an Englishman, you mean, John sturdy Eglinton put in, he loved a lord.",,0,210,1330,0,30,96,0,2,9,51.5,-0.11667
429,London,England,Europe,Stephen Dedalus,9.068,9,680,In the years when he was living richly in royal London to pay a debt she had to,,33,210,1330,7,30,96,8,34,143,51.50722,-0.1275
430,Stratford,England,Europe,Buck Mulligan,9.0695,9,695,"For his sister, for his old cronies in Stratford/ And in London. And therefore w",,7,210,1330,7,30,96,2,13,39,51.5423,-0.00256
431,London,England,Europe,Buck Mulligan,9.0696,9,696,"For his sister, for his old cronies in Stratford/ And in London. And therefore w",,33,210,1330,7,30,96,1,13,39,51.50722,-0.1275
432,Ireland yard,England,Europe,Stephen Dedalus,9.0711,9,711,...with a coat of arms and landed estate at Stratford and a house in Ireland yar,,1,210,1330,1,30,96,1,34,143,51.50722,-0.1275
433,Stratford,England,Europe,Stephen Dedalus,9.0711,9,711,...with a coat of arms and landed estate at Stratford and a house in Ireland yar,,7,210,1330,7,30,96,4,34,143,51.5423,-0.00256
434,,Scotland,Europe,Stephen Dedalus,9.0751,9,751,Hamlet and Macbeth with the coming to the throne of a Scotch philosophaster with,,0,27,1330,0,2,96,0,2,143,57,-5
435,Warwickshire,England,Europe,Stephen Dedalus,9.0754,9,754,Warwickshire jesuits are tried and we have a porter's theory of equivocation.,,2,210,1330,2,30,96,2,34,143,52.33333,-1.58333
436,,Bermudas,North America,Stephen Dedalus,9.0755,9,755,The Sea Venture comes home from Bermudas and the play Renan admired is written w,,0,1,51,0,1,5,0,1,4,32.3,-64.78333
437,,USA,North America,Stephen Dedalus,9.0756,9,756,The Sea Venture comes home from Bermudas and the play Renan admired is written w,,0,39,51,0,3,5,0,2,4,40,-100
438,Windsor Castle,England,Europe,Stephen Dedalus,9.0759,9,759,...the gross virgin who inspired the Merry Wives of Windsor let some meinherr fr,,1,210,1330,1,30,96,1,34,143,51.48333,-0.60417
439,,Germany,Europe,Stephen Dedalus,9.0759,9,759,...the gross virgin who inspired the Merry Wives of Windsor let some meinherr fr,Elizibethan: Germany,0,33,1330,0,6,96,0,5,143,51.5167,9.9167
440,Rome,Italy,Europe,John Eglinton,9.0764,9,764,"Prove that he was a jew, John Eglinton dared, expectantly. Your dean of studies",,33,76,1330,3,7,96,1,1,9,41.9,12.5
441,,France,Europe,Stephen Dedalus,9.0766,9,766,"He was made in Germany, Stephen replied, as the champion French polisher of Ital",,0,92,1330,0,16,96,0,29,143,47,2
442,,Germany,Europe,Stephen Dedalus,9.0766,9,766,"He was made in Germany, Stephen replied, as the champion French polisher of Ital",,0,33,1330,0,6,96,0,5,143,51.5167,9.9167
443,,Italy,Europe,Stephen Dedalus,9.0767,9,767,"He was made in Germany, Stephen replied, as the champion French polisher of Ital",,0,76,1330,0,7,96,0,11,143,43,12
444,Vienna,Austria,Europe,Stephen Dedalus,9.078,9,780,"...I enjoy reading in the original, writing of incest from a standpoint differen",,6,15,1330,1,1,96,1,1,143,48.2,16.36667
445,River Jordan,Turkish Empire,Asia,Stephen Dedalus,9.0807,9,807,She read or had read to her his chapbooks preferring them to the Merry Wives and,,1,109,186,1,5,7,1,10,14,33.18667,35.61917
446,Ulster,Ireland,Europe,Stephen Dedalus,9.0818,9,818,"Shy supping with the godless, he sneaks the cup. A sire in Ultonian Antrim bade",An Ultonian is an inhabitant of Ulster,3,556,1330,1,20,96,1,42,143,54.4,-7
447,Paris,France,Europe,Stephen Dedalus,9.0825,9,825,Hurrying to her squalid deathlair from gay Paris on the quayside I touched his h,,34,92,1330,6,16,96,16,29,143,48.8567,2.3508
448,Wittenberg,Germany,Europe,Stephen Dedalus,9.0832,9,832,...with fifty of experience is the beardless undergraduate from Wittenberg then,,1,33,1330,1,6,96,1,5,143,51.86667,12.65
449,,Italy,Europe,Stephen Dedalus,9.084,9,840,On that mystery and not on the madonna which the cunning Italian intellect flung,,0,76,1330,0,7,96,0,11,143,43,12
450,,,Europe,Stephen Dedalus,9.084,9,840,On that mystery and not on the madonna which the cunning Italian intellect flung,,0,0,1330,0,0,96,0,0,143,46,7
451,rue Monsieur-le-Prince,France,Europe,Stephen Dedalus,9.0858,9,858,In rue Monsieur-le-Prince I thought it.,,1,92,1330,1,16,96,1,29,143,48.8567,2.3508
452,,,Africa,Stephen Dedalus,9.0862,9,862,"Sabellius, the African, subtlest heresiarch of all the beasts of the field, held",,0,0,83,0,0,5,0,0,13,7.1881,21.0936
453,Forest of Arden,England,Europe,Stephen Dedalus,9.088,9,880,"As for his family, Stephen said, his mother's name lives in the forest of Arden.",,1,210,1330,1,30,96,1,34,143,52.46,-1.657
454,,Egypt,Africa,Stephen Dedalus,9.0884,9,884,"Who Cleopatra, fleshpot of Egypt, and Cressid and Venus are we may guess.",,0,37,83,0,2,5,0,9,13,26,30
455,London,England,Europe,Stephen Dedalus,9.0896,9,896,...and he seen his brud Maister Wull the playwriter up in Lunnon in a wrastling,,33,210,1330,7,30,96,8,34,143,51.50722,-0.1275
456,Southwark,England,Europe,Stephen Dedalus,9.0914,9,914,"Nay, that last play was written or being written while his brother Edmund lay dy",,2,210,1330,1,30,96,1,34,143,51.4988,-0.0901
457,,Italy,Europe,Stephen Dedalus,9.0922,9,922,"He was hidden his own name, a fair name, William, in the plays, a super here, a",,0,76,1330,0,7,96,0,11,143,43,12
458,Shottery,England,Europe,Stephen Dedalus,9.0934,9,934,"...as he walked by the slumberous summer fields at midnight, returning from Shot",,1,210,1330,1,30,96,1,34,143,52.18333,-1.71667
459,Paris,France,Europe,Stephen Dedalus,9.0953,9,953,"Whereto? Newhaven-Dieppe, steerage passenger. Paris and back.",,34,92,1330,6,16,96,16,29,143,48.8567,2.3508
460,Dieppe,France,Europe,Stephen Dedalus,9.0953,9,953,"Whereto? Newhaven-Dieppe, steerage passenger. Paris and back.",,1,92,1330,1,16,96,1,29,143,49.92,1.08
461,Newhaven,England,Europe,Stephen Dedalus,9.0953,9,953,"Whereto? Newhaven-Dieppe, steerage passenger. Paris and back.",,2,210,1330,1,30,96,2,34,143,50.8,0.06
462,,Ireland,Europe,Richard Best,9.0957,9,957,"That's very interesting because that brother motive, don't you know, we find als",,0,556,1330,0,20,96,0,3,7,53.41667,-8
463,,Ireland,Europe,Stephen Dedalus,9.0991,9,991,Why is the underplot of King Lear in which Edmund figures lifted out of Sidney's,,0,556,1330,0,20,96,0,42,143,53.41667,-8
464,,Bohemia,Europe,John Eglinton,9.0995,9,995,He puts Bohemia on the seacoast and makes Ulysses quote Aristotle.,,0,1,1330,0,1,96,0,1,9,50,15
465,Verona,Italy,Europe,Stephen Dedalus,9.1001,9,1001,"The note of banishment, banishment from the heart, banishment from home, sounds",,1,76,1330,1,7,96,1,11,143,45.43333,10.98333
466,Maynooth,Ireland,Europe,Stephen Dedalus,9.1008,9,1008,The words are those of my lords bishops of Maynooth.,,3,556,1330,1,20,96,1,42,143,53.38157,-6.59098
467,Moorish World,,Africa,Stephen Dedalus,9.1024,9,1024,His unremitting intellect is the hornmad Iago ceaselessly willing that the moor,,10,0,83,2,0,5,2,0,13,27.453,-1.374
468,,Denmark,Europe,Stephen Dedalus,9.1036,9,1036,"And, what though murdered and betrayed, bewept by all frail tender hearts for, D",,0,6,1330,0,3,96,0,4,143,55.72,12.57
469,Rome,Italy,Europe,Stephen Dedalus,9.1049,9,1049,...the lord of things as they are whom the most Roman of catholics call dio boia,,33,76,1330,3,7,96,5,11,143,41.9,12.5
470,,France,Europe,John Eglinton,9.1065,9,1065,You have brought us all this way to show us a French triangle. Do you believe yo,,0,92,1330,0,16,96,0,1,9,47,2
471,Berlin,Germany,Europe,John Eglinton,9.1074,9,1074,"Herr Bleibtreu, the man Piper met in Berlin, who is working up that Rutland theo",,1,33,1330,1,6,96,1,2,9,52.51667,13.38333
472,Stratford,England,Europe,John Eglinton,9.1075,9,1075,"Herr Bleibtreu, the man Piper met in Berlin, who is working up that Rutland theo",,7,210,1330,7,30,96,1,2,9,51.5423,-0.00256
473,,France,Europe,Buck Mulligan,9.1101,9,1101,"Monsieur Moore, he said, lecture on French letters to the youth of Ireland.",,0,92,1330,0,16,96,0,4,39,47,2
474,,Ireland,Europe,Buck Mulligan,9.1102,9,1102,"Monsieur Moore, he said, lecture on French letters to the youth of Ireland.",,0,556,1330,0,20,96,0,11,39,53.41667,-8
475,,Ireland,Europe,Stephen Dedalus,9.1105,9,1105,Swill till eleven. Irish nights entertainment.,,0,556,1330,0,20,96,0,42,143,53.41667,-8
476,,China,Asia,Buck Mulligan,9.1129,9,1129,"O, the chinless Chinaman!",,0,19,186,0,1,7,0,2,5,35,103
477,,,Europe,Buck Mulligan,9.1131,9,1131,Our players are creating a new art for Europe like the Greeks or M. Maetrerlinck,,0,0,1330,0,0,96,0,0,39,46,7
478,,Greece,Europe,Buck Mulligan,9.1131,9,1131,Our players are creating a new art for Europe like the Greeks or M. Maetrerlinck,,0,45,1330,0,6,96,0,7,39,39,22
479,,England,Europe,Buck Mulligan,9.1156,9,1156,"Only crows, priests and English coal are black.",,0,210,1330,0,30,96,0,13,39,51.5,-0.11667
480,Moorish World,,Africa,Buck Mulligan,9.1168,9,1168,"The pillared Moorish hall, shadows entwined. Gone the nine men's morrice with ca",,10,0,83,2,0,5,1,0,3,27.453,-1.374
481,,Poland,Europe,Buck Mulligan,9.1181,9,1181,TOBY TOSTOFF (a ruined Pole),,0,1,1330,0,1,96,0,1,39,52.2167,21.0333
482,Oxford,England,Europe,Buck Mulligan,9.1212,9,1212,Manner of Oxenford.,,13,210,1330,2,30,96,4,13,39,51.75194,-1.25778
483,Buxton,England,Europe,Narrator 10,10.0019,10,19,"He would go to Buxton probably for the waters. And her boys, were they getting o",,1,210,1330,1,8,34,1,2,12,53.259,-1.911
484,London,England,Europe,Father Conmee,10.0022,10,22,And Mr Sheehy himself? Still in London.,,33,210,1330,1,8,34,1,1,6,51.50722,-0.1275
485,,Ireland,Europe,Father Conmee,10.0037,10,37,"He loved Ireland, he said, and he loved the Irish. Of good family too would one",,0,556,1330,0,16,34,0,2,6,53.41667,-8
486,,Ireland,Europe,Father Conmee,10.0037,10,37,"He loved Ireland, he said, and he loved the Irish. Of good family too would one",,0,556,1330,0,16,34,0,2,6,53.41667,-8
487,,Wales,Europe,Father Conmee,10.0038,10,38,"He loved Ireland, he said, and he loved the Irish. Of good family too would one",,0,15,1330,0,1,34,0,1,6,52.3496,-3.6378
488,,Scotland,Europe,Father Conmee,10.0065,10,65,"A fine carriage she had. Like Mary, queen of Scots, something.",,0,27,1330,0,3,34,0,1,6,57,-5
489,,USA,North America,Father Conmee,10.009,10,90,In America those things were continually happening.,,0,39,51,0,4,4,0,2,2,40,-100
490,New York,USA,North America,Father Conmee,10.009,10,90,Grogan's the Tobacconist against which newsboards leaned and told of a dreadful,,6,39,51,1,4,4,1,2,2,40.67,-73.94
491,,,Africa,Narrator 10,10.0144,10,144,Father Conmee thought of the souls of black and brown and yellow men and of his,,0,0,83,0,0,1,0,0,1,7.1881,21.0936
492,,Belgium,Europe,Narrator 10,10.0147,10,147,"That book by the Belgian jesuit, Le Nombre de Elus, seemed to Father Conmee a re",,0,7,1330,0,1,34,0,1,12,50.85,4.35
493,,France,Europe,Father Conmee,10.0182,10,182,"Moutonner, the French said. A homely and just word.",,0,92,1330,0,2,34,0,1,6,47,2
494,Clongowes,Ireland,Europe,Narrator 10,10.0186,10,186,His thinsocked ankles were tickled by the stubble of Clongowes field.,,6,556,1330,2,16,34,2,6,12,53.31092,-6.68344
495,,England,Europe,Onelegged Sailor,10.0232,10,232,For England...,,0,210,1330,0,8,34,0,2,2,51.5,-0.11667
496,,England,Europe,Onelegged Sailor,10.0243,10,243,For England...,,0,210,1330,0,8,34,0,2,2,51.5,-0.11667
497,Clongowes,Ireland,Europe,Narrator 10,10.0264,10,264,"Father Conmee walked through Clongowes fields, his thinsocked ankles tickled by",,6,556,1330,2,16,34,2,6,12,53.31092,-6.68344
498,,Ireland,Europe,Narrator 10,10.0341,10,341,&bank of Ireland where pigeons roocoocooed.,,0,556,1330,0,16,34,0,6,12,53.41667,-8
499,,England,Europe,Stephen Dedalus,10.0341,10,341,"Two carfuls of tourists passed slowly, their women sitting fore, gripping frankl",Paleface is Irish slang for an Englander,0,210,1330,0,8,34,0,34,143,51.5,-0.11667
500,,Scotland,Europe,Narrator 10,10.0365,10,365,"In vain he trotted, signalling in vain among the rout of barekneed gillies smugg",Gillie refers to a Scot.,0,27,1330,0,3,34,0,1,12,57,-5
501,Ringabella,Ireland,Europe,Reverend Hugh C. Love,10.04,10,400,"_x0014_Ringabella and Crosshaven, a voice replied groping for foothold.",,4,556,1330,1,16,34,1,2,2,51.77028,-8.305
502,Crosshaven,Ireland,Europe,Reverend Hugh C. Love,10.04,10,400,"_x0014_Ringabella and Crosshaven, a voice replied groping for foothold.",,2,556,1330,1,16,34,1,2,2,51.80194,-8.29528
503,,Ireland,Europe,Ned Lambert,10.0411,10,411,The old bank of Ireland was over the way till the time of the unionÊand the,,0,556,1330,0,16,34,0,5,7,53.41667,-8
504,Wexford,Ireland,Europe,Narrator 10,10.0435,10,435,With J.J. O'Molloy he came forth slowly into Mary's abbey where draymen were loa,,5,556,1330,1,16,34,1,6,12,52.3342,-6.4575
505,,Scotland,Europe,Dilly Dedalus,10.0675,10,675,"I know you did, Dilly answered. Were you in the Scotch house now?","This is a tossup. Scotch house refers to a bar, so it could be the drink or the",0,27,1330,0,3,34,0,1,1,57,-5
506,,USA,North America,Tom Kernan,10.0732,10,732,"that a fact? Without a doubt. Well now, look at that. And America they say",,0,39,51,0,4,4,0,2,2,40,-100
507,,USA,North America,Tom Kernan,10.0734,10,734,"I smiled at him. America, I said, quietly, just like that.",,0,39,51,0,4,4,0,2,2,40,-100
508,,India,Asia,Narrator 10,10.0756,10,756,Grizzled moustache. Returned Indian officer. Bravely he bore his stumpy body for,,0,11,186,0,1,1,0,1,1,21,78
509,,Ireland,Europe,Stephen Dedalus,10.0838,10,838,Tattered pages.ÊThe Irish Beekeeper. Life and Miracles of the Cure' of&,,0,556,1330,0,16,34,0,42,143,53.41667,-8
510,Killarney,Ireland,Europe,Stephen Dedalus,10.0839,10,839,Tattered pages. The Irish Beekeeper. Life and Miracles of the Cure of Ars. Pocke,,6,556,1330,1,16,34,1,42,143,52.0588,-9.5072
511,Paris,France,Europe,Stephen Dedalus,10.086,10,860,It glowed as she crouched feeding the fire with broken boots. I told her of Pari,,34,92,1330,1,2,34,16,29,143,48.8567,2.3508
512,,Ireland,Europe,John Wyse Nolan,10.104,10,1040,"The lord lieutenant general and general governor of Ireland, John Wyse Nolan ans",,0,556,1330,0,16,34,0,4,8,53.41667,-8
513,Vienna,Austria,Europe,Haines,10.1078,10,1078,It's rather interesting because Professor Pokorny of Vienna makes an interesting,,6,15,1330,1,2,34,1,1,12,48.2,16.36667
514,,Ireland,Europe,Haines,10.1082,10,1082,"He can find no trace of hell in ancient Irish myth, Haines said, amid the cheerf",,0,556,1330,0,16,34,0,4,12,53.41667,-8
515,,Ireland,Europe,Haines,10.1094,10,1094,"This is real Irish cream I take it, he said with forebearance. I don't want to b",,0,556,1330,0,16,34,0,4,12,53.41667,-8
516,,Ireland,Europe,Narrator 10,10.1213,10,1213,...John Wyse Nolan smiled with unseen coldness towards the lord lieutenantgenera,,0,556,1330,0,16,34,0,6,12,53.41667,-8
517,Yorkshire,England,Europe,Narrator 10,10.1242,10,1242,"By the provost's wall came jauntily Blazes Boylan, stepping in tanned shoes and",,10,210,1330,3,8,34,1,2,12,54,-2
518,Yorkshire,England,Europe,Blazes Boylan,10.1255,10,1255,Yet I've a sort of a/ Yorkshire relish for/ My little Yorkshire rose.,,10,210,1330,3,8,34,2,2,2,54,-2
519,Yorkshire,England,Europe,Blazes Boylan,10.1256,10,1256,Yet I've a sort of a/ Yorkshire relish for/ My little Yorkshire rose.,,10,210,1330,3,8,34,2,2,2,54,-2
520,,Hungary,Europe,Narrator 10,10.1263,10,1263,...Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell stared through a fierce eye,,0,20,1330,0,1,34,0,1,12,47.4981,19.04
521,,Austria,Europe,Narrator 10,10.1263,10,1263,...Cashel Boyle O'Connor Fitzmaurice Tisdall Farrell stared through a fierce eye,,0,15,1330,0,2,34,0,1,12,47.6,13.7833
522,,Ireland,Europe,Narrator 10,10.128,10,1280,"...by the late queen when visiting the Irish capital with her husband, the princ",,0,556,1330,0,16,34,0,6,12,53.41667,-8
523,Castile,Spain,Europe,Overture,11.0008,11,8,"A jumping rose on satiny breasts of satin, rose of Castille.",,11,76,1330,7,11,34,3,3,4,41.38333,-4.45
524,Castile,Spain,Europe,Overture,11.0014,11,14,O rose! Castile. The morn is breaking.,,11,76,1330,7,11,34,3,3,4,41.38333,-4.45
525,,France,Europe,Narrator 11,11.0015,11,150,Gathering figs I think. And Prosper Lore's huguenot name.,,0,92,1330,0,1,34,0,1,12,47,2
526,Big Ben,England,Europe,Overture,11.0053,11,53,Big Benaben. Big Benben.,,3,210,1330,3,3,34,1,1,4,51.50076,-0.12466
527,Castile,Spain,Europe,Overture,11.0054,11,54,Last rose Castile of summer left bloom I feel so sad alone.,,11,76,1330,7,11,34,3,3,4,41.38333,-4.45
528,Nile,Egypt,Africa,Lydia Douce,11.0067,11,67,"Miss Douce said yes, sitting with his ex, pearl and grey and eau de Nil.",,6,37,83,3,4,4,1,1,1,-2.28222,29.33139
529,Rostrevor,Ireland,Europe,Narrator 11,11.0197,11,197,He hoped she had nice weather in Rostrevor.,,1,556,1330,1,13,34,1,5,12,54.101,-6.201
530,Mourne Mountains,Ireland,Europe,Simon Dedalus,11.0219,11,219,"By Jove, he mused, I often watnted to see the Mourne mountains.",,2,556,1330,1,13,34,1,3,5,54.16667,-6.08333
531,Castile,Spain,Europe,Lenehan,11.0329,11,329,"But look this way, he said, rose of Castile.",,11,76,1330,7,11,34,1,1,6,41.38333,-4.45
532,Castile,Spain,Europe,Narrator 11,11.0331,11,331,"She rose and closed her reading, rose of Castile.",,11,76,1330,7,11,34,3,3,12,41.38333,-4.45
533,,Egypt,Africa,Narrator 11,11.0383,11,383,Clock clacked. Fair one of Egypt teased and sorted in the till and hummed and ha,,0,37,83,0,4,4,0,3,3,26,30
534,Nile,Egypt,Africa,Narrator 11,11.0465,11,465,"...slow cool dim seagreen sliding depth of shadow, eau de Nil.",,6,37,83,3,4,4,2,3,3,-2.28222,29.33139
535,,Ireland,Europe,Leopold Bloom,11.051,11,510,"Irish? I don't know, faith. Is she, Simon?",,0,556,1330,0,13,34,0,71,179,53.41667,-8
536,,Ireland,Europe,Leopold Bloom,11.0512,11,512,"Buccinator muscle is ... What? ... Bit rusty ... O, she is ... My Irish Molly,",,0,556,1330,0,13,34,0,71,179,53.41667,-8
537,Gibraltar,Britain,Europe,Leopold Bloom,11.0515,11,515,From the rock of Gibraltar ... all the way.,,26,85,1330,1,1,34,8,16,179,36.13333,-5.35
538,Nile,Egypt,Africa,Narrator 11,11.0661,11,661,...as in cool glaucous eau de Nil to tankards two her pinnacles of gold.,,6,37,83,3,4,4,2,3,3,-2.28222,29.33139
539,,Spain,Europe,Leopold Bloom,11.0732,11,732,Spanishy eyes. Under a peartree alone patio this hour in old Madrid one side in,,0,76,1330,0,11,34,0,23,179,40.43333,-3.7
540,Madrid,Spain,Europe,Leopold Bloom,11.0733,11,733,Spanish eyes. Under a peartree alone patio this hour in old Madrid one side in s,,4,76,1330,1,11,34,1,23,179,40.4,-3.68333
541,,Spain,Europe,Leopold Bloom,11.0808,11,808,Big spanishy eyes goggling at nothing. Her wavyavyeavyheavyeavyevyevyhair un com,,0,76,1330,0,11,34,0,23,179,40.43333,-3.7
542,,Italy,Europe,Leopold Bloom,11.0825,11,825,Few lines will do. My present. All that Italian florid music is.,,0,76,1330,0,2,34,0,9,179,43,12
543,Ringabella,Ireland,Europe,Narrator 11,11.085,11,850,"He heard them as a boy in Ringabella, Crosshaven, ringabella, singing their barc",,4,556,1330,3,13,34,3,5,12,51.77028,-8.305
544,Ringabella,Ireland,Europe,Narrator 11,11.085,11,850,"He heard them as a boy in Ringabella, Crosshaven, ringabella, singing their barc",,4,556,1330,3,13,34,3,5,12,51.77028,-8.305
545,Crosshaven,Ireland,Europe,Narrator 11,11.085,11,850,"He heard them as a boy in Ringabella, Crosshaven, ringabella, singing their barc",,2,556,1330,1,13,34,1,5,12,51.80194,-8.29528
546,,Italy,Europe,Narrator 11,11.0851,11,851,Queenstown harbour full of Italian ships.,,0,76,1330,0,2,34,0,1,12,43,12
547,Ringabella,Ireland,Europe,Narrator 11,11.0852,11,852,Cross Ringabella haven mooncarole.,,4,556,1330,3,13,34,3,5,12,51.77028,-8.305
548,Agendath Netaim,Turkish Empire,Asia,Narrator 11,11.0884,11,884,By Dlugacz' porkshop bright tubes of Agendath trotted a gallantbuttocked mare.,"Agdendath is the ""model farm at Kennereth,"" which is the sea of Galilee, and as",16,109,186,1,4,4,1,1,1,32.83333,35.58333
549,,Turkish Empire,Asia,Leopold Bloom,11.0942,11,942,"Why do they hide their ears with seaweed hair? And Turks the mouth, why?",,0,109,186,0,4,4,0,31,48,39.1667,35.6667
550,,Hungary,Europe,Leopold Bloom,11.0983,11,983,"Like those rhapsodies of Liszt's, Hungarian, gipsyeyed.",,0,20,1330,0,1,34,0,1,179,47.4981,19.04
551,Persia,Turkish Empire,Asia,Leopold Bloom,11.105,11,1050,Tuning up. Shah of Persia liked that best.,,2,109,186,2,4,4,2,31,48,32,53
552,Wexford,Ireland,Europe,Leopold Bloom,11.1064,11,1064,"To Wexford, we are the boys of Wexford, he would. Last of his name and race.",,5,556,1330,2,13,34,2,71,179,52.3342,-6.4575
553,Wexford,Ireland,Europe,Leopold Bloom,11.1064,11,1064,"To Wexford, we are the boys of Wexford, he would. Last of his name and race.",,5,556,1330,2,13,34,2,71,179,52.3342,-6.4575
554,,Ireland,Europe,Leopold Bloom,11.1072,11,1072,Ireland comes now. My country above the king.,,0,556,1330,0,13,34,0,71,179,53.41667,-8
555,,Spain,Europe,Leopold Bloom,11.1093,11,1093,Or because so like the Spanish. Understand animals too that way.,,0,76,1330,0,11,34,0,23,179,40.43333,-3.7
556,Castile,Spain,Europe,Narrator 11,11.1109,11,1109,But look. The bright stars fade. O rose! Castile. The morn.,,11,76,1330,7,11,34,3,3,12,41.38333,-4.45
557,Geneva barrack,Ireland,Europe,Leopold Bloom,11.1131,11,1131,At Geneva barrack that young man died. At Passage was his body laid.,,1,556,1330,1,13,34,1,71,179,52.21667,-6.98333
558,Passage,Ireland,Europe,Leopold Bloom,11.1131,11,1131,At Geneva barrack that young man died. At Passage was his body laid.,,1,556,1330,1,13,34,1,71,179,52.23333,-6.96667
559,Big Ben,England,Europe,Narrator 11,11.1154,11,1154,Big Benaben Dollard. Big Benben. Big Benben.,,3,210,1330,3,3,34,2,2,12,51.50076,-0.12466
560,Big Ben,England,Europe,Narrator 11,11.1154,11,1154,Big Benaben Dollard. Big Benben. Big Benben.,,3,210,1330,3,3,34,2,2,12,51.50076,-0.12466
561,,Greece,Europe,Leopold Bloom,11.1181,11,1181,Dodge round by Greek street.,,0,45,1330,0,1,34,0,6,179,39,22
562,Persia,Turkish Empire,Asia,Leopold Bloom,11.1248,11,1248,Now if I did that at a banquet. Just a question of custom shah of Persia.,,2,109,186,2,4,4,2,31,48,32,53
563,,Sweden,Europe,Leopold Bloom,11.1266,11,1266,Chap sold me the Swedish razor he shaved me with. Wanted to charge me for the ed,,0,3,1330,0,1,34,0,1,179,61.3167,14.8333
564,Castile,Spain,Europe,Narrator 11,11.1271,11,1271,"...before bronze Lydia's tempting last rose of summer, rose of Castile.",,11,76,1330,7,11,34,3,3,12,41.38333,-4.45
565,Down,Ireland,Europe,Unnamed Narrator,12.0016,12,16,&said he had a farm in the county Down off a hop of my thumb by the name of Mose,,4,556,1330,1,152,254,1,18,22,54.36,-5.94
566,,Ireland,Europe,Parody Section,12.0068,12,68,"In Inisfail the fair there lies a land, the land of holy Michan.",Inisfail is the poetic name for Ireland.,0,556,1330,0,152,254,0,82,111,53.41667,-8
567,,Lebanon,Asia,Parody Section,12.0076,12,76,"...their first class foliage, the wafty sycamore, the Lebanonian cedar, the exal",,0,2,186,0,1,10,0,1,4,33.8333,35.7667
568,Eblana,Ireland,Europe,Parody Section,12.0083,12,83,"And heroes voyage from afar to woo them, from Eblana to Silevemargy...",,3,556,1330,2,152,254,2,82,111,53.34778,-6.25972
569,Slievemargy,Ireland,Europe,Parody Section,12.0083,12,83,"And heroes voyage from afar to woo them, from Eblana to Silevemargy...",,1,556,1330,1,152,254,1,82,111,52.8306,-6.9317
570,Connacht,Ireland,Europe,Parody Section,12.0084,12,84,...the peerless princes of unfettered Munster and of Connacht the just and of sm,,4,556,1330,2,152,254,1,82,111,53.78,-9.05
571,Munster,Ireland,Europe,Parody Section,12.0084,12,84,...the peerless princes of unfettered Munster and of Connacht the just and of sm,,2,556,1330,1,152,254,1,82,111,52.25,-9
572,Armagh,Ireland,Europe,Parody Section,12.0085,12,85,...Leinster and of Cruanchan_x0019_s land and of Armagh the splendid and of the ,,5,556,1330,1,152,254,1,82,111,54.3499,-6.6546
